id,name,created_at,updated_at,street1,zip,city,state,metro_id,longitude,latitude,street2,zone_id,store_id,county,deleted_at,opening_hour,closing_hour,store_number,store_group,active,allows_pickup,is_envoy_only,service_area_id,sells_alcohol,tax_exempt
13412,CVS - 4700 Bergenline Ave,2019-01-24 00:04:15.632742,2019-02-07 04:01:45.593672,4700 Bergenline Ave,07087,Union City,NJ,210,-74.0217165,40.7811677,NULL,2706,60,Hudson County,NULL,8,22,7400,NULL,True,False,False,NULL,False,NULL
13413,CVS - Rahway Ave,2019-01-24 00:04:16.07732,2019-02-07 04:01:45.614764,214 Rahway Ave,07202,Elizabeth,NJ,210,-74.2215526,40.6590637,NULL,2200,60,Union County,NULL,8,21,7613,NULL,True,False,False,NULL,False,NULL
13414,CVS - River Rd,2019-01-24 00:04:16.603613,2019-02-07 04:01:45.634756,65 River Rd,07020,Edgewater,NJ,210,-73.9922313,40.8043594,NULL,2206,60,Bergen County,NULL,8,22,8924,NULL,True,False,False,NULL,False,NULL
13415,CVS - Prospect Ave,2019-01-24 00:04:17.157997,2019-02-07 04:01:45.654839,265 Prospect Ave,07052,W Orange,NJ,210,-74.2487909,40.8027312,NULL,2205,60,Essex County,NULL,7,22,10087,NULL,True,False,False,NULL,False,NULL
13416,CVS - Valley St,2019-01-24 00:04:17.652093,2019-02-07 04:01:45.675578,453 Valley St,07040,Maplewood,NJ,210,-74.266625,40.7375993,NULL,2200,60,Essex County,NULL,7,22,10211,NULL,True,False,False,NULL,False,NULL
13417,CVS - 215 Bergen Blvd,2019-01-24 00:04:18.201798,2019-02-07 04:01:45.695468,215 Bergen Blvd,07022,Fairview,NJ,210,-74.0023773,40.8191783,NULL,2206,60,Bergen County,NULL,8,22,10289,NULL,True,False,False,NULL,False,NULL
13418,CVS - W Saint George's Ave,2019-01-24 00:04:18.870032,2019-02-07 04:01:45.715598,1000 W Saint George's Ave,07036,Linden,NJ,210,-74.272447,40.6280663,NULL,2202,60,Union County,NULL,8,22,10611,NULL,True,False,False,NULL,False,NULL
13419,CVS - 165 Main St,2019-01-24 00:04:19.48458,2019-02-07 04:01:45.735687,165 Main St,07024,Fort Lee,NJ,210,-73.9685857,40.8513788,NULL,2709,60,Bergen County,NULL,8,22,10655,NULL,True,False,False,NULL,False,NULL
13420,CVS - Morgan St,2019-01-24 00:04:20.199376,2019-02-07 04:01:45.75616,88 Morgan St,07302,Jersey City,NJ,210,-74.0359794,40.7197489,NULL,2207,60,Hudson County,NULL,8,22,11088,NULL,True,False,False,NULL,False,NULL
5740,Target - Webster,2018-06-13 17:24:07.427873,2018-11-29 16:34:57.79216,1050 Ridge Rd,14580,Webster,NY,197,-77.4506558,43.2109486,NULL,2119,27,Monroe County,NULL,8,22,2038,NULL,True,False,False,NULL,False,NULL
4661,Target - Albuquerque Uptown,2018-03-23 15:29:40.405952,2018-11-29 16:34:59.221386,2120 Louisiana Blvd NE,87110,Albuquerque,NM,151,-106.5676145,35.1010174,NULL,1660,27,Bernalillo County,NULL,8,23,2813,NULL,True,False,False,NULL,False,NULL
4660,Target - Albuquerque NE,2018-03-23 15:29:39.830096,2018-11-29 16:34:59.233027,6100 Paseo Del Norte NE,87109,Albuquerque,NM,151,-106.5818934,35.1721695,NULL,1664,27,Bernalillo County,NULL,8,22,2031,NULL,True,False,False,NULL,False,NULL
4659,Target - Albuquerque NW,2018-03-23 15:29:39.243666,2018-11-29 16:34:59.244818,9371 Coors Blvd NW,87114,Albuquerque,NM,151,-106.6648139,35.1860743,NULL,1662,27,Bernalillo County,NULL,8,22,625,NULL,True,False,False,NULL,False,NULL
